Title,Year Published,Min Players,Max Players,Playing Time,Age Minimum,Number of Accessories,Number of Ratings,Average Rating,Bayes Rating,Standard Deviation,Average USD Price,Age (Years),Time Category,AgeRating,GroupSize
San Juan (Second Edition),2014,2,4,60,10,0,7170,7.4606,7.03123,1.12929,21.997692307692304,9,Short,PreTeen,Small
Unmatched: Robin Hood vs. Bigfoot,2019,2,2,20,9,11,3693,7.94196,7.02681,1.22416,56.25,4,Quick,PreTeen,Small
Dice Forge,2017,2,4,45,10,2,20918,7.23207,7.02661,1.23124,32.184444444444445,6,Short,PreTeen,Small
Civilization,1980,2,7,360,12,0,7463,7.4952,7.02603,1.60676,96.30565217391303,43,Marathon,PreTeen,Large
Codenames: Pictures,2016,2,8,15,10,3,21791,7.19642,7.02312,1.27562,15.460952380952381,7,Quick,PreTeen,Large
Skull,2011,3,6,45,10,1,21945,7.19506,7.02093,1.40613,22.333333333333332,12,Short,PreTeen,Large
Blitzkrieg!: World War Two in 20 Minutes,2019,1,2,45,14,1,5216,7.61798,7.02077,1.1043,37.15,4,Short,Teen,Small
Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,2016,1,8,120,10,0,5747,7.60561,7.0198,1.46873,32.522380952380956,7,Long,PreTeen,Large
Nippon,2015,2,4,120,12,0,4858,7.64842,7.01964,1.21736,85.0,8,Long,PreTeen,Small
Sprawlopolis,2018,1,4,20,8,4,9903,7.35449,7.01941,1.15399,18.0,5,Quick,Young,Small
Turing Machine,2022,1,4,20,14,0,4327,7.79168,7.01865,1.40015,42.5,1,Quick,Teen,Small
Firefly: The Game,2013,1,4,240,13,12,11851,7.38992,7.0184,1.56432,49.186875,10,Very Long,Teen,Small
Cat in the Box: Deluxe Edition,2022,2,5,40,13,0,4906,7.64066,7.01728,1.17868,18.25,1,Short,Teen,Large
Sword & Sorcery,2017,1,5,90,12,9,4826,7.90809,7.01613,1.53519,167.32294117647058,6,Moderate,PreTeen,Large
Space Hulk (Third Edition),2009,2,2,60,12,2,7078,7.52743,7.01561,1.79993,308.125,14,Short,PreTeen,Small
Santa Maria,2017,1,4,90,12,1,6730,7.48282,7.01542,1.18151,42.27181818181818,6,Moderate,PreTeen,Small
Clash of Cultures,2012,2,4,240,14,0,5704,7.57786,7.01502,1.43166,47.85325581395349,11,Very Long,Teen,Small
Spartacus: A Game of Blood and Treachery,2012,3,4,180,17,2,8604,7.46465,7.01158,1.54864,70.874375,11,Long,Adult,Small
Cubitos,2021,2,4,60,10,3,7710,7.44346,7.01142,1.19468,31.638571428571428,2,Short,PreTeen,Small
Stockpile,2015,2,5,45,13,0,6910,7.46967,7.01101,1.2399,81.699,8,Short,Teen,Large
Macao,2009,2,4,100,12,0,7406,7.41316,7.00928,1.33418,107.5,14,Long,PreTeen,Small
